name,code,city,地区,省份,纬度,经度
钦州东,QDZ,钦州,钦州,广西壮族自治区,21.979004,108.668138
西双版纳,ENM,景洪,景洪,云南省,21.983691,100.773372
钦州,QRZ,钦州,钦州,广西壮族自治区,21.983762,108.618996
珠海机场,ZJA,珠海,珠海,广东省,22.012656,113.379648
三灶东,SAA,珠海,珠海,广东省,22.039961,113.403664
马皇,MHZ,钦州,钦州,广西壮族自治区,22.048723,108.652031
凭祥,PXZ,崇左,崇左,广西壮族自治区,22.079819,106.742539
珠海长隆,ZLA,珠海,珠海,广东省,22.104812,113.541291
井湾,JWA,珠海,珠海,广东省,22.109627,113.485869
野象谷,AGM,景洪,景洪,云南省,22.111034,100.854389
夏石,XIZ,崇左,崇左,广西壮族自治区,22.118557,106.90365
横琴,HQA,珠海,珠海,广东省,22.136724,113.54508
宁明,NMZ,崇左,崇左,广西壮族自治区,22.158657,107.063693
横琴北,HOA,珠海,珠海,广东省,22.161883,113.534068
十字门,SIA,珠海,珠海,广东省,22.172102,113.520455
湾仔,WZA,珠海,珠海,广东省,22.181545,113.527682
恩平,PXQ,江门,江门,广东省,22.185187,112.396023
阳春,YQQ,阳江,阳江,广东省,22.189375,111.761471
湾仔北,WBA,珠海,珠海,广东省,22.1949,113.534334
珠海,ZHQ,珠海,珠海,广东省,22.215372,113.549574
亭亮,TIZ,崇左,崇左,广西壮族自治区,22.21664,107.188441
小董,XEZ,钦州,钦州,广西壮族自治区,22.221931,108.60575
博白,BBZ,玉林,玉林,广西壮族自治区,22.231317,109.993994
前山,QXQ,珠海,珠海,广东省,22.234255,113.52586
枋山,,屏东县,屏东县,台湾省,22.264317,120.663163
明珠,MFQ,珠海,珠海,广东省,22.268455,113.515546
枋野,,屏东县,屏东县,台湾省,22.278058,120.720695
大拟,DNZ,南宁,南宁,广西壮族自治区,22.296753,108.519508
台山,PUQ,江门,江门,广东省,22.298796,112.815524
香港西九龙,XJA,香港,香港,香港特别行政区,22.301063,114.170353
内狮,,屏东县,屏东县,台湾省,22.303297,120.647191
陆川,LKZ,玉林,玉林,广西壮族自治区,22.310739,110.257648
米兰,MIR,库尔勒,库尔勒,香港特别行政区,22.3163365,114.1705264
开平南,PVQ,江门,江门,广东省,22.320082,112.675461
加禄,,屏东县,屏东县,台湾省,22.32796,120.628533
信宜,EEQ,茂名,茂名,广东省,22.329324,110.965455
崇左南,COZ,崇左,崇左,广西壮族自治区,22.357667,107.395024
大武,,台东县,台东县,台湾省,22.362489,120.904182
唐家湾,PDQ,珠海,珠海,广东省,22.363054,113.551842
百浪,BRZ,南宁,南宁,广西壮族自治区,22.3652,108.456567
枋寮,,屏东县,屏东县,台湾省,22.36525,120.598836
东海,DHB,鸡西,屏东县,台湾省,22.395954,120.575886
珠海北,ZIQ,珠海,珠海,广东省,22.400534,113.551892
崇左,CZZ,崇左,崇左,广西壮族自治区,22.40365,107.358602
佳冬,,屏东县,屏东县,台湾省,22.410877,120.551201
那铺,NPZ,南宁,南宁,广西壮族自治区,22.415229,108.380679
双水镇,PQQ,江门,江门,广东省,22.424894,112.956049
林边,,屏东县,屏东县,台湾省,22.428627,120.518753
翠亨,IHQ,中山,中山,广东省,22.438661,113.546104
濑湍,LVZ,崇左,崇左,广西壮族自治区,22.445318,107.501612
镇安,ZEY,商洛,屏东县,台湾省,22.455135,120.514892
春湾,CQQ,阳江,阳江,广东省,22.457188,111.949097
泷溪,,台东县,台东县,台湾省,22.457918,120.945659
大元,DYZ,南宁,南宁,广西壮族自治区,22.482771,108.353349
南朗,NNQ,中山,中山,广东省,22.486149,113.533307
江门,JOQ,江门,江门,广东省,22.488446,113.070247
南州,,屏东县,屏东县,台湾省,22.488961,120.51578
崁顶,,屏东县,屏东县,台湾省,22.510291,120.518575
渠旧,QJZ,崇左,崇左,广西壮族自治区,22.514681,107.582352
新会,EFQ,江门,江门,广东省,22.517656,113.070947
深圳西,OSQ,深圳,深圳,广东省,22.527787,113.908116
金仑,,台东县,台东县,台湾省,22.528417,120.971146
河口北,HBM,蒙自,蒙自,云南省,22.529438,103.939265
深圳,SZQ,深圳,深圳,广东省,22.531948,114.117751
福田,NZQ,深圳,深圳,广东省,22.538136,114.057201
中山,ZSQ,中山,中山,广东省,22.544233,113.432799
礼乐,UEQ,江门,江门,广东省,22.545444,113.077685
潮州,CKQ,潮州,屏东县,台湾省,22.547056,120.539725
渠黎,QLZ,崇左,崇左,广西壮族自治区,22.554256,107.792971
宁村,NCZ,南宁,南宁,广西壮族自治区,22.55673,108.337079
中山北,ZGQ,中山,中山,广东省,22.557046,113.382735
江门东,JWQ,江门,江门,广东省,22.560652,113.103434
扶绥南,FNZ,崇左,崇左,广西壮族自治区,22.57695,107.908333
江海,JNQ,江门,江门,广东省,22.583139,113.163731
竹田,,屏东县,屏东县,台湾省,22.583649,120.543405
前镇,,高雄市,高雄市,台湾省,22.586502,120.311723
玉林,YLZ,玉林,玉林,广西壮族自治区,22.597427,110.156562
古镇,GNQ,中山,中山,广东省,22.597777,113.206831
吴圩机场,WJZ,南宁,南宁,广西壮族自治区,22.599855,108.186947
深圳东,BJQ,深圳,深圳,广东省,22.601897,114.11986
东升,DRQ,中山,中山,广东省,22.604376,113.284547
深圳北,IOQ,深圳,深圳,广东省,22.610815,114.030865
大王滩,DZZ,南宁,南宁,广西壮族自治区,22.611273,108.28385
西势,,屏东县,屏东县,台湾省,22.613354,120.530208
太麻里,,台东县,台东县,台湾省,22.616169,121.008469
深圳机场,SCA,深圳,深圳,广东省,22.624026,113.813803
坂田,BTQ,深圳,深圳,广东省,22.624691,114.053187
扶绥,FSZ,崇左,崇左,广西壮族自治区,22.628332,107.920056
凤山,,高雄市,高雄市,台湾省,22.62886,120.360677
正义,,高雄市,高雄市,台湾省,22.631427,120.346737
麟洛,,屏东县,屏东县,台湾省,22.631836,120.518037
科工馆,,高雄市,高雄市,台湾省,22.634308,120.330326
民族,,高雄市,高雄市,台湾省,22.63596,120.319056
三块厝,,高雄市,高雄市,台湾省,22.636456,120.297856
高雄,,高雄市,高雄市,台湾省,22.63677,120.306503
后庄,,高雄市,高雄市,台湾省,22.637838,120.395085
鼓山,,高雄市,高雄市,台湾省,22.639257,120.285013
吴圩,WYZ,南宁,南宁,广西壮族自治区,22.643335,108.247034
小榄,EAQ,中山,中山,广东省,22.64791,113.270316
美术馆,,高雄市,高雄市,台湾省,22.649151,120.285385
归来,,屏东县,屏东县,台湾省,22.649461,120.506576
深圳机场北,SBA,深圳,深圳,广东省,22.651215,113.798345
九曲堂,,高雄市,高雄市,台湾省,22.65334,120.425123
六块厝,,屏东县,屏东县,台湾省,22.662973,120.46877
内惟,,高雄市,高雄市,台湾省,22.6631,120.29091
屏东,,屏东县,屏东县,台湾省,22.66613,120.489923
左营（旧城）,,高雄市,高雄市,台湾省,22.671222,120.297691
新左营,,高雄市,高雄市,台湾省,22.684825,120.311305
福海西,FHA,深圳,深圳,广东省,22.689897,113.789677
平湖,PHQ,深圳,深圳,广东省,22.692304,114.124636
知本,,台东县,台东县,台湾省,22.707537,121.064599
深圳坪山,IFQ,深圳,深圳,广东省,22.707648,114.326539
南头,NOQ,中山,中山,广东省,22.712982,113.308645
兴业南,XKZ,玉林,玉林,广西壮族自治区,22.713338,109.881432
玉林北,ABZ,玉林,玉林,广西壮族自治区,22.721413,110.249623
楠梓,,高雄市,高雄市,台湾省,22.72444,120.328105
北流,BOZ,玉林,玉林,广西壮族自治区,22.730046,110.321533
那罗,ULZ,南宁,南宁,广西壮族自治区,22.730769,108.277318
光明城,IMQ,深圳,深圳,广东省,22.732455,113.954287
沙井西,SJA,深圳,深圳,广东省,22.733483,113.793346
兴业,SNZ,玉林,玉林,广西壮族自治区,22.737626,109.907731
新兴县,XGQ,云浮,云浮,广东省,22.738054,112.229686
容桂,RUQ,佛山,佛山,广东省,22.75113,113.312368
桥头,,高雄市,高雄市,台湾省,22.758371,120.314175
康乐,,台东县,台东县,台湾省,22.761887,121.097295
普洱,PEM,普洱,普洱,云南省,22.775211,100.941871
长安,CAA,东莞,东莞,广东省,22.779026,113.764125
惠阳,KNQ,惠州,惠州,广东省,22.784928,114.491635
长安西,CXA,东莞,东莞,广东省,22.785494,113.729332
冈山,,高雄市,高雄市,台湾省,22.788985,120.304539
台东,,台东县,台东县,台湾省,22.790872,121.12641
横州,HGZ,南宁,南宁,广西壮族自治区,22.801749,108.980519
汕尾,OGQ,汕尾,汕尾,广东省,22.809599,115.428313
鲘门,KMQ,汕尾,汕尾,广东省,22.812758,115.12505
顺德学院,OJQ,佛山,佛山,广东省,22.822561,113.319952
南宁,NNZ,南宁,南宁,广西壮族自治区,22.826972,108.314849
虎门东,HDA,东莞,东莞,广东省,22.828962,113.692924
南宁东,NFZ,南宁,南宁,广西壮族自治区,22.841886,108.413817
东莞南,DNA,东莞,东莞,广东省,22.843807,114.070237
惠东南,KDQ,惠州,惠州,广东省,22.844348,114.794685
路竹,,高雄市,高雄市,台湾省,22.851121,120.270569
容县,RXZ,玉林,玉林,广西壮族自治区,22.859132,110.532068
山里,,台东县,台东县,台湾省,22.859234,121.141955
虎门北,HBA,东莞,东莞,广东省,22.861184,113.673529
虎门,IUQ,东莞,东莞,广东省,22.86122,113.673297
庆盛,,广州,广州,广东省,22.866987,113.491531
顺德,ORQ,佛山,佛山,广东省,22.874813,113.27673
大湖,,高雄市,高雄市,台湾省,22.875607,120.258052
南宁西,NXZ,南宁,南宁,广西壮族自治区,22.88818,107.97484
陆丰南,LAA,汕尾,汕尾,广东省,22.892641,115.661099
厚街,HJA,东莞,东莞,广东省,22.897199,113.651652
长荣大学,,台南市,台南市,台湾省,22.900989,120.277258
中洲,,台南市,台南市,台湾省,22.901218,120.256579
樟木头,ZOQ,东莞,东莞,广东省,22.901317,114.068225
岑溪,CNZ,梧州,梧州,广西壮族自治区,22.903145,110.948197
陆丰东,LDA,汕尾,汕尾,广东省,22.905913,115.889308
东莞港,DGA,东莞,东莞,广东省,22.907596,113.611405
鹿野,,台东县,台东县,台湾省,22.909834,121.141109
北滘,IBQ,佛山,佛山,广东省,22.915506,113.264297
仁德,,台南市,台南市,台湾省,22.920671,120.244459
沙仑,,台南市,台南市,台湾省,22.921204,120.290258
台南,,台南市,台南市,台湾省,22.921982,120.290362
保安,,台南市,台南市,台湾省,22.93032,120.235598
惠东,KDA,惠州,惠州,广东省,22.933326,114.741379
广州莲花,,广州,广州,广东省,22.942906,113.393996
陆丰,LLQ,汕尾,汕尾,广东省,22.947809,115.733297
碧江,BLQ,佛山,佛山,广东省,22.949856,113.262544
北滘西,BJA,佛山,佛山,广东省,22.952323,113.178205
瑞源,,台东县,台东县,台湾省,22.953451,121.163147
大朗镇,KOQ,东莞,东莞,广东省,22.954605,113.949248
樟木头东,ZRQ,东莞,东莞,广东省,22.958254,114.105545
松山湖北,KUQ,东莞,东莞,广东省,22.958621,113.895834
顺德北,SVA,佛山,佛山,广东省,22.961859,113.129664
常平东,FQQ,东莞,东莞,广东省,22.962651,114.040636
银瓶,KPQ,东莞,东莞,广东省,22.966388,114.156544
东莞东,DMQ,东莞,东莞,广东省,22.967302,114.039175
陈村,CVA,佛山,佛山,广东省,22.968795,113.237294
常平南,FPQ,东莞,东莞,广东省,22.972485,114.00471
东环,DHA,广州,广州,广东省,22.973854,113.366651
瑞和,,台东县,台东县,台湾省,22.977413,121.160034
沥林北,KBQ,惠州,惠州,广东省,22.978964,114.229754
洪梅,HMA,东莞,东莞,广东省,22.980224,113.617764
官桥北,GQA,广州,广州,广东省,22.982172,113.444872
常平,DAQ,东莞,东莞,广东省,22.983808,114.005863
番禺,PYA,广州,广州,广东省,22.987108,113.27297
东城南,IYQ,东莞,东莞,广东省,22.988683,113.77501
寮步,LTQ,东莞,东莞,广东省,22.988737,113.851973
广州南,IZQ,广州,广州,广东省,22.989125,113.277732
道滘,RRQ,东莞,东莞,广东省,22.990804,113.658974
广州长隆,GCA,广州,广州,广东省,22.991867,113.327368
西平西,EGQ,东莞,东莞,广东省,22.993627,113.745764
南台南,,台南市,台南市,台湾省,22.994575,120.216996
惠来,HGA,揭阳,揭阳,广东省,22.995111,116.286702
惠州南,KNA,惠州,惠州,广东省,22.998504,114.458176
泰安旧,,台南市,台南市,台湾省,22.999044,120.16471
广州莲花山,GLA,广州,广州,广东省,23.002104,113.492261
陈江南,KKQ,惠州,惠州,广东省,23.006142,114.326832
东莞西,WGQ,东莞,东莞,广东省,23.008017,113.625987
张槎,ZAA,佛山,佛山,广东省,23.009127,113.067659
云浮东,IXQ,云浮,云浮,广东省,23.011524,112.138628
屏边,PBM,蒙自,蒙自,云南省,23.013774,103.637086
大桥,,台南市,台南市,台湾省,23.016757,120.228284
麻涌,MIA,东莞,东莞,广东省,23.020161,113.573748
仲恺,ZKA,惠州,惠州,广东省,23.026299,114.267338
惠环,KHQ,惠州,惠州,广东省,23.03011,114.365963
永康,RFH,金华,台南市,台湾省,23.036237,120.257836
望牛墩,WNA,东莞,东莞,广东省,23.036557,113.627955
关山,,台东县,台东县,台湾省,23.043056,121.16843
永康工业区,,台南市,台南市,台湾省,23.044464,120.274381
佛山,FSQ,佛山,佛山,广东省,23.047436,113.104573
宁洱,NEM,宁洱,宁洱,云南省,23.04864,101.064139
龙丰,KFQ,惠州,惠州,广东省,23.062881,114.394953
葵潭,KTQ,揭阳,揭阳,广东省,23.064351,115.996639
新市,,台南市,台南市,台湾省,23.065582,120.293689
中堂,ZTA,东莞,东莞,广东省,23.076337,113.621204
佛山西,FOQ,佛山,佛山,广东省,23.078556,113.03397
肇庆,ZVQ,肇庆,肇庆,广东省,23.081746,112.451073
西湖东,WDQ,惠州,惠州,广东省,23.08793,114.400907
东莞,RTQ,东莞,东莞,广东省,23.088811,113.858991
惠州西,VXQ,惠州,惠州,广东省,23.091767,114.362685
海端,,台东县,台东县,台湾省,23.099573,121.181211
贵港,GGZ,贵港,贵港,广西壮族自治区,23.10084,109.612976
南科,,台南市,台南市,台湾省,23.104656,120.305941
石龙,SLQ,东莞,东莞,广东省,23.107532,113.844331
端州,WZQ,肇庆,肇庆,广东省,23.110688,112.513612
云山,KZQ,惠州,惠州,广东省,23.111249,114.418704
三水南,RNQ,佛山,佛山,广东省,23.113359,112.871117
南江口,NDQ,云浮,云浮,广东省,23.119279,111.788187
狮山,KSQ,佛山,佛山,广东省,23.122431,112.983781
池上,,台东县,台东县,台湾省,23.123787,121.223373
广州西,GXQ,广州,广州,广东省,23.130061,113.264499
善化,,台南市,台南市,台湾省,23.130466,120.310602
新塘南,NUQ,广州,广州,广东省,23.132182,113.603425
潮南,CHA,汕头,汕头,广东省,23.132347,116.531791
新塘,,广州,广州,广东省,23.133747,113.605428
隆安东,IDZ,南宁,南宁,广西壮族自治区,23.135238,107.705818
石牌,SPQ,广州,广州,广东省,23.140859,113.370544
博罗,BOA,惠州,惠州,广东省,23.141574,114.208808
靖西,JMZ,百色,百色,广西壮族自治区,23.147525,106.39115
广州,GZQ,广州,广州,广东省,23.149243,113.257331
广州东,GGQ,广州,广州,广东省,23.150597,113.324981
惠州,HCQ,惠州,惠州,广东省,23.151421,114.416342
小金口,NKQ,惠州,惠州,广东省,23.152203,114.417271
狮山北,NSQ,佛山,佛山,广东省,23.153711,112.97134
南宁北,NRZ,南宁,南宁,广西壮族自治区,23.156387,108.236839
三水,SJQ,佛山,佛山,广东省,23.159615,112.887575
拔林,,台南市,台南市,台湾省,23.170261,120.325324
鼎湖山,NVQ,肇庆,肇庆,广东省,23.174336,112.586945
富里,,花莲县,花莲县,台湾省,23.176547,121.252292
惠州北,HUA,惠州,惠州,广东省,23.180065,114.38044
三水北,ARQ,佛山,佛山,广东省,23.184627,112.918522
隆田,,台南市,台南市,台湾省,23.190223,120.323491
广州白云,GBA,广州,广州,广东省,23.191281,113.246364
黎塘,LTZ,南宁,南宁,广西壮族自治区,23.194389,109.133131
罗浮山,LVA,惠州,惠州,广东省,23.195441,114.06989
增城,ZCA,广州,广州,广东省,23.203885,113.799503
鼎湖东,UWQ,肇庆,肇庆,广东省,23.213429,112.660814
肇庆东,FCQ,肇庆,肇庆,广东省,23.21424,112.663095
宾阳,UKZ,南宁,南宁,广西壮族自治区,23.216227,109.093133
云东海,NAQ,佛山,佛山,广东省,23.21804,112.845327
东竹,,花莲县,花莲县,台湾省,23.223416,121.282113
汕头南,SNA,汕头,汕头,广东省,23.229731,116.677315
林凤营,,台南市,台南市,台湾省,23.240084,120.325177
郁南,YKQ,云浮,云浮,广东省,23.245392,111.46971
大旺,WWQ,肇庆,肇庆,广东省,23.253903,112.81206
普宁,PEQ,揭阳,揭阳,广东省,23.266745,116.199421
东里,,花莲县,花莲县,台湾省,23.269911,121.307895
四会,AHQ,肇庆,肇庆,广东省,23.27037,112.754697
长良,,花莲县,花莲县,台湾省,23.273184,121.292085
柳营,,台南市,台南市,台湾省,23.274805,120.326669
新营,,台南市,台南市,台湾省,23.303841,120.327405
平果,PGZ,百色,百色,广西壮族自治区,23.315867,107.565161
桂平,GAZ,贵港,贵港,广西壮族自治区,23.317204,110.116973
玉里,,花莲县,花莲县,台湾省,23.32907,121.315473
藤县,TAZ,梧州,梧州,广西壮族自治区,23.334441,110.987172
德保,RBZ,百色,百色,广西壮族自治区,23.345279,106.627863
后壁,,台南市,台南市,台湾省,23.363729,120.364467
汕头,OTQ,汕头,汕头,广东省,23.372023,116.757
蒙自,MZM,蒙自,蒙自,云南省,23.374213,103.430901
花都,HAA,广州,广州,广东省,23.377115,113.201384
广州北,GBQ,广州,广州,广东省,23.377273,113.203846
潮阳,CNQ,汕头,汕头,广东省,23.379944,116.422659
梧州南,WBZ,梧州,梧州,广西壮族自治区,23.393646,111.222496
白云机场北,BBA,广州,广州,广东省,23.396928,113.305964
南靖,NJS,漳州,嘉义县,台湾省,23.410824,120.390934
平南南,PAZ,贵港,贵港,广西壮族自治区,23.41844,110.431932
三民,,花莲县,花莲县,台湾省,23.422257,121.349234
乐同,LEA,广州,广州,广东省,23.42359,113.174892
花山镇,HZA,广州,广州,广东省,23.425439,113.268729
花城街,HCA,广州,广州,广东省,23.425676,113.23654
水上,,嘉义县,嘉义县,台湾省,23.431351,120.403719
墨江,MJM,墨江,墨江,云南省,23.434209,101.741083
红河,HHM,蒙自,蒙自,云南省,23.451044,103.353093
狮岭,SLA,广州,广州,广东省,23.454131,113.148318
嘉义,,嘉义市,嘉义市,台湾省,23.47752,120.445616
博罗北,BLA,惠州,惠州,广东省,23.478233,114.561085
梧州,WZZ,梧州,梧州,广西壮族自治区,23.486899,111.24076
瑞穗,,花莲县,花莲县,台湾省,23.495388,121.380615
嘉北,,嘉义市,嘉义市,台湾省,23.497447,120.452439
个旧,JJM,个旧,个旧,云南省,23.51542,103.2135
沙鹿,,台中市,台中市,台湾省,23.525783,120.490406
潮汕,CBQ,潮州,潮州,广东省,23.539591,116.588171
揭阳机场,JUA,揭阳,揭阳,广东省,23.544919,116.516991
银盏,YZA,清远,清远,广东省,23.549596,113.130148
民雄,,嘉义县,嘉义县,台湾省,23.552861,120.43574
揭阳南,JRQ,揭阳,揭阳,广东省,23.570798,116.369937
富源,FYM,曲靖,花莲县,台湾省,23.577979,121.384275
广宁,FBQ,肇庆,肇庆,广东省,23.585204,112.425866
大林,DLD,通辽,嘉义县,台湾省,23.5984,120.459981
大富,,花莲县,花莲县,台湾省,23.603687,121.393483
龙塘镇,LVB,清远,清远,广东省,23.606158,113.084098
揭阳,JYA,揭阳,揭阳,广东省,23.60957,116.334442
大禾塘,SOQ,邵东,邵东,广西壮族自治区,23.614625,110.389647
田东,TDZ,百色,百色,广西壮族自治区,23.627471,107.129527
石龟,,云林县,云林县,台湾省,23.637107,120.474916
清城,QCA,清远,清远,广东省,23.653565,113.066524
建水,JSM,蒙自,蒙自,云南省,23.657885,102.872028
源潭,YTQ,清远,清远,广东省,23.662601,113.202038
光复,,花莲县,花莲县,台湾省,23.664016,121.425037
燕湖,YHA,清远,清远,广东省,23.66461,113.077378
斗南,,云林县,云林县,台湾省,23.670209,120.485027
富宁,FNM,文山,文山,云南省,23.674399,105.584347
开远南,KUM,蒙自,蒙自,云南省,23.680439,103.284413
河源东,HEA,河源,河源,广东省,23.682348,114.737141
田东北,TBZ,百色,百色,广西壮族自治区,23.683217,107.14165
清远,QBQ,清远,清远,广东省,23.694175,113.133644
元江,AJM,元江,元江,云南省,23.698499,102.006897
斗六,,云林县,云林县,台湾省,23.709141,120.544875
饶平,RVQ,潮州,潮州,广东省,23.711877,116.932394
石榴,,云林县,云林县,台湾省,23.729004,120.583438
来宾,UBZ,来宾,来宾,广西壮族自治区,23.730264,109.241324
马山县,MAZ,南宁,南宁,广西壮族自治区,23.743551,108.171086
凤林,,花莲县,花莲县,台湾省,23.743883,121.450743
飞霞,FEA,清远,清远,广东省,23.7440269,113.0794117
丰顺,FUQ,梅州,梅州,广东省,23.751125,116.190474
来宾北,UCZ,来宾,来宾,广西壮族自治区,23.751492,109.243981
林内,,云林县,云林县,台湾省,23.757032,120.618197
河源,VIQ,河源,河源,广东省,23.759231,114.683646
田阳,TRZ,百色,百色,广西壮族自治区,23.766428,106.936118
诏安,ZDS,漳州,漳州,福建省,23.771247,117.098154
南平,,花莲县,花莲县,台湾省,23.779982,121.462099
源泉,,彰化县,彰化县,台湾省,23.795761,120.645799
林荣新光,,花莲县,花莲县,台湾省,23.800128,121.466019
丰顺东,FDA,梅州,梅州,广东省,23.80228,116.190317
二水,,彰化县,彰化县,台湾省,23.810536,120.62204
水里,,南投县,南投县,台湾省,23.815785,120.856944
集集,,南投县,南投县,台湾省,23.823664,120.788751
车埕,,南投县,南投县,台湾省,23.829736,120.86957
浊水,,南投县,南投县,台湾省,23.831914,120.708573
龙泉,,南投县,南投县,台湾省,23.832691,120.75386
丰田,,花莲县,花莲县,台湾省,23.845916,121.499961
田中,,彰化县,彰化县,台湾省,23.855591,120.595209
寿丰,,花莲县,花莲县,台湾省,23.866296,121.514658
平和,,花莲县,花莲县,台湾省,23.880016,121.524542
河源北,HYA,河源,河源,广东省,23.884319,115.006967
百色,BIZ,百色,百色,广西壮族自治区,23.885687,106.664281
云霄,YBS,漳州,漳州,福建省,23.891582,117.361188
怀集,FAQ,肇庆,肇庆,广东省,23.892622,112.159899
社头,,彰化县,彰化县,台湾省,23.892966,120.584381
志学,,花莲县,花莲县,台湾省,23.905128,121.533069
永靖,,彰化县,彰化县,台湾省,23.925402,120.575306
建桥,JQA,梅州,梅州,广东省,23.929461,116.112998
临沧,LXM,临沧,临沧,云南省,23.930778,100.112694
员林,,彰化县,彰化县,台湾省,23.956549,120.573303
曲江,QIM,蒙自,蒙自,云南省,23.960241,102.845475
吉安,VAG,吉安,花莲县,台湾省,23.965017,121.586474
珠琳,ZOM,文山,文山,云南省,23.965773,104.627607
都安,RUZ,河池,河池,广西壮族自治区,23.967223,108.113602
普者黑,PZM,文山,文山,云南省,23.969805,104.179841
朋普,PRM,蒙自,蒙自,云南省,23.975261,103.343561
花莲港,,花莲县,花莲县,台湾省,23.984992,121.638022
大村,,彰化县,彰化县,台湾省,23.987253,120.564261
花莲,,花莲县,花莲县,台湾省,23.989818,121.604625
花坛,,彰化县,彰化县,台湾省,24.022227,120.54098
北埔,,花莲县,花莲县,台湾省,24.029776,121.604992
广南县,GXM,文山,文山,云南省,24.034901,105.052694
化念,HDM,峨山,峨山,云南省,24.043015,102.233076
五华,WHA,梅州,梅州,广东省,24.056425,115.631449
畲江北,SOA,梅州,梅州,广东省,24.059798,116.021535
华城,VCQ,梅州,梅州,广东省,24.070661,115.625247
龙川西,LCA,河源,河源,广东省,24.07768,115.180813
彰化,,彰化县,彰化县,台湾省,24.078882,120.541957
大肚溪南,,南投县,南投县,台湾省,24.092703,120.569241
漳浦,ZCS,漳州,漳州,福建省,24.095852,117.563403
兴宁,ENQ,梅州,梅州,广东省,24.101765,115.728405
兴宁南,XNA,梅州,梅州,广东省,24.103656,115.793898
乌日,,台中市,台中市,台湾省,24.106097,120.626102
